省份,地市,涉及区县列表,涉及区县数量,问题行业列表,问题行业数量,问题企业数量
上海市,上海市,浦东新区,1,制药,1,30
北京市,北京市,北京经济技术开发区、大兴区、密云区、朝阳区、通州区、顺义区,6,制药,1,82
天津市,天津市,北辰区、宝坻区、滨海新区、静海区,4,家具制造、炼油与石油化工、金属表面处理及热处理加工,3,329
安徽省,亳州市,利辛县,1,砖瓦窑,1,21
安徽省,六安市,叶集区、叶集改革发展试验区、霍邱县,3,人造板制造、家具制造、砖瓦窑,3,107
安徽省,合肥市,合肥经济技术开发区、庐江县、肥东县、肥西县、长丰县,5,家具制造、砖瓦窑,2,144
安徽省,宿州市,埇桥区,1,人造板制造、砖瓦窑,2,70
安徽省,淮北市,濉溪县,1,砖瓦窑,1,61
安徽省,淮南市,凤台县,1,砖瓦窑,1,20
安徽省,滁州市,天长市,1,电线、电缆制造,1,147
安徽省,芜湖市,无为县、芜湖县,2,电线、电缆制造、金属表面处理及热处理加工,2,49
安徽省,阜阳市,太和县、颍上县、颍东区,3,砖瓦窑,1,79
山东省,东营市,东营港经济开发区、利津县、垦利区、广饶县、河口区,5,橡胶制品制造、炼油与石油化工,2,200
山东省,临沂市,临沭县、临港区、兰山区、平邑县、沂南县、经济区、罗庄区、莒南县、蒙阴县、费县,10,人造板制造、家具制造、砖瓦窑,3,2635
山东省,德州市,宁津县、德城区,2,家具制造、砖瓦窑,2,113
山东省,日照市,岚山区、莒县,2,橡胶制品制造、砖瓦窑,2,82
山东省,枣庄市,滕州市,1,家具制造、炼油与石油化工、砖瓦窑,3,165
山东省,泰安市,宁阳县,1,砖瓦窑,1,21
山东省,济南市,莱芜区,1,砖瓦窑,1,18
山东省,淄博市,临淄区、周村区、市辖区,3,危险废物治理、家具制造、炼油与石油化工,3,173
山东省,滨州市,博兴县、沾化区、邹平县,3,家具制造、有色金属压延、炼油与石油化工、电解铝、砖瓦窑、金属表面处理及热处理加工,6,396
山东省,潍坊市,临朐县、坊子区、寿光市、高密市,4,家具制造、有色金属压延、炼油与石油化工,3,229
山东省,聊城市,临清市、冠县、茌平县、莘县,4,有色金属压延、炼油与石油化工、金属表面处理及热处理加工,3,262
山东省,菏泽市,东明县、单县、巨野县、开发区、曹县、牡丹区、郓城县,7,人造板制造、家具制造、炼油与石油化工、砖瓦窑,4,703
山西省,临汾市,尧都区,1,砖瓦窑,1,18
山西省,吕梁市,孝义市,1,耐火材料,1,76
山西省,太原市,山西转型综合改革示范区(太原市)、阳曲县,2,家具制造,1,22
山西省,晋中市,介休市、平遥县、榆次区,3,炭素、砖瓦窑,2,91
山西省,晋城市,阳城县、高平市,2,砖瓦窑,1,38
山西省,运城市,河津市,1,砖瓦窑,1,19
山西省,长治市,潞城区,1,砖瓦窑,1,15
山西省,阳泉市,平定县,1,耐火材料,1,59
江苏省,南京市,江北新区、江宁区,2,家具制造、炼油与石油化工,2,299
江苏省,南通市,启东市、如东县、如皋市、海安市、经济技术开发区、苏通科技产业园、通州区,7,家具制造、金属表面处理及热处理加工,2,143
江苏省,宿迁市,宿城区、沭阳县、经济技术开发区,3,人造板制造、家具制造,2,53
江苏省,常州市,新北区、武进区、经济开发区,3,人造板制造、金属表面处理及热处理加工,2,411
江苏省,徐州市,睢宁县、贾汪区、邳州市、铜山区,4,人造板制造、家具制造、砖瓦窑,3,345
江苏省,扬州市,江都区、高邮市,2,砖瓦窑、金属表面处理及热处理加工,2,78
江苏省,无锡市,宜兴市、惠山区、江阴市、锡山区,4,有色金属压延、砖瓦窑、金属表面处理及热处理加工,3,448
江苏省,泰州市,兴化市、江苏江阴-靖江工业园区、泰兴市、靖江市,4,有色金属压延、炼油与石油化工、金属表面处理及热处理加工,3,110
江苏省,淮安市,盐化新材料产业园区,1,炼油与石油化工,1,29
江苏省,盐城市,滨海县,1,制药、炼油与石油化工,2,33
