省份,地市,区县,单位名称,问题行业,Excel行号
河南省,安阳市,滑县,滑县慈周寨美艺家橱柜厂,家具制造,2
河南省,安阳市,滑县,滑县万隆家具有限公司,家具制造,3
河南省,安阳市,滑县,河南省光辉家具有限公司,家具制造,4
河南省,安阳市,滑县,滑县守顺古典家具有限公司,家具制造,5
河南省,安阳市,滑县,滑县焦虎镇祥和布艺沙发,家具制造,6
河南省,安阳市,滑县,滑县万古盼民木制品厂,家具制造,7
河南省,安阳市,滑县,滑县小铺昊光家具厂,家具制造,8
河南省,安阳市,滑县,滑县万古省红软体家具厂,家具制造,9
河南省,安阳市,滑县,滑县焦虎镇东榆尚品古典家具馆,家具制造,10
河南省,安阳市,滑县,滑县半坡店华景家具厂,家具制造,11
河南省,安阳市,滑县,滑县刘豪木业厂,家具制造,12
河南省,安阳市,滑县,滑县焦虎镇鸿鑫家俱厂,家具制造,13
河南省,安阳市,滑县,滑县小铺宜佳家具厂,家具制造,14
河南省,安阳市,滑县,滑县典雅居家具厂,家具制造,15
河南省,安阳市,滑县,滑县华瑞达木业有限公司,家具制造,16
河南省,安阳市,滑县,滑县状元郎家具厂,家具制造,17
河南省,安阳市,滑县,滑县老店浩远家具厂,家具制造,18
河南省,安阳市,滑县,滑县老店超美家具厂,家具制造,19
河南省,安阳市,滑县,滑县半坡店迎进家具厂,家具制造,20
河南省,安阳市,滑县,滑县半坡店张云古典家具厂,家具制造,21
河南省,安阳市,滑县,滑县润盛木制品有限公司,家具制造,22
河南省,安阳市,滑县,滑县半坡店永革超祥家具厂,家具制造,23
河南省,安阳市,滑县,滑县金嘉木业有限公司,家具制造,24
河南省,安阳市,滑县,滑县原木坊木业厂,家具制造,25
河南省,安阳市,滑县,滑县壮壮木业有限公司,家具制造,26
河南省,安阳市,滑县,河南君宝木业有限公司,家具制造,27
河南省,安阳市,滑县,滑县山水兄弟家具有限公司,家具制造,28
河南省,安阳市,滑县,超强古典家具厂,家具制造,29
河南省,安阳市,滑县,滑县留固占顺家具厂,家具制造,30
河南省,安阳市,滑县,滑县半坡店乡安馨阁古典家具厂,家具制造,31
河南省,安阳市,滑县,滑县焦虎镇鸿祥沙发厂,家具制造,32
河南省,安阳市,滑县,河南康悦居实木家具有限公司,家具制造,33
河南省,安阳市,滑县,河南士站家具有限公司,家具制造,34
河南省,安阳市,滑县,滑县半坡店战备家具厂,家具制造,35
河南省,安阳市,滑县,滑县焦虎镇增红家具沙发厂,家具制造,36
河南省,安阳市,滑县,滑县老店尚艺佳门业经销部,家具制造,37
河南省,安阳市,滑县,滑县天成木业厂,家具制造,38
河南省,安阳市,滑县,河南盼盼木制品有限公司,家具制造,39
河南省,安阳市,滑县,河南滑县双园门业有限责任公司,家具制造,40
